 0.500000 0.623607 0.735114 0.823607 0.880423 0.900000 0.880423 0.823607 0.735114 0.623607 0.500000 0.376393 0.264886 0.176393 0.119577 0.100000 0.119577 0.176393 0.264886 0.376393
 0.623607 0.735114 0.823607 0.880423 0.900000 0.880423 0.823607 0.735114 0.623607 0.500000 0.376393 0.264886 0.176393 0.119577 0.100000 0.119577 0.176393 0.264886 0.376393 0.500000
 0.735114 0.823607 0.880423 0.900000 0.880423 0.823607 0.735114 0.623607 0.500000 0.376393 0.264886 0.176393 0.119577 0.100000 0.119577 0.176393 0.264886 0.376393 0.500000 0.623607
 0.823607 0.880423 0.900000 0.880423 0.823607 0.735114 0.623607 0.500000 0.376393 0.264886 0.176393 0.119577 0.100000 0.119577 0.176393 0.264886 0.376393 0.500000 0.623607 0.735114
 0.880423 0.900000 0.880423 0.823607 0.735114 0.623607 0.500000 0.376393 0.264886 0.176393 0.119577 0.100000 0.119577 0.176393 0.264886 0.376393 0.500000 0.623607 0.735114 0.823607
 0.900000 0.880423 0.823607 0.735114 0.623607 0.500000 0.376393 0.264886 0.176393 0.119577 0.100000 0.119577 0.176393 0.264886 0.376393 0.500000 0.623607 0.735114 0.823607 0.880423
 0.880423 0.823607 0.735114 0.623607 0.500000 0.376393 0.264886 0.176393 0.119577 0.100000 0.119577 0.176393 0.264886 0.376393 0.500000 0.623607 0.735114 0.823607 0.880423 0.900000
 0.823607 0.735114 0.623607 0.500000 0.376393 0.264886 0.176393 0.119577 0.100000 0.119577 0.176393 0.264886 0.376393 0.500000 0.623607 0.735114 0.823607 0.880423 0.900000 0.880423
 0.735114 0.623607 0.500000 0.376393 0.264886 0.176393 0.119577 0.100000 0.119577 0.176393 0.264886 0.376393 0.500000 0.623607 0.735114 0.823607 0.880423 0.900000 0.880423 0.823607
 0.623607 0.500000 0.376393 0.264886 0.176393 0.119577 0.100000 0.119577 0.176393 0.264886 0.376393 0.500000 0.623607 0.735114 0.823607 0.880423 0.900000 0.880423 0.823607 0.735114
 0.500000 0.376393 0.264886 0.176393 0.119577 0.100000 0.119577 0.176393 0.264886 0.376393 0.500000 0.623607 0.735114 0.823607 0.880423 0.900000 0.880423 0.823607 0.735114 0.623607
 0.376393 0.264886 0.176393 0.119577 0.100000 0.119577 0.176393 0.264886 0.376393 0.500000 0.623607 0.735114 0.823607 0.880423 0.900000 0.880423 0.823607 0.735114 0.623607 0.500000
 0.264886 0.176393 0.119577 0.100000 0.119577 0.176393 0.264886 0.376393 0.500000 0.623607 0.735114 0.823607 0.880423 0.900000 0.880423 0.823607 0.735114 0.623607 0.500000 0.376393
 0.176393 0.119577 0.100000 0.119577 0.176393 0.264886 0.376393 0.500000 0.623607 0.735114 0.823607 0.880423 0.900000 0.880423 0.823607 0.735114 0.623607 0.500000 0.376393 0.264886
 0.119577 0.100000 0.119577 0.176393 0.264886 0.376393 0.500000 0.623607 0.735114 0.823607 0.880423 0.900000 0.880423 0.823607 0.735114 0.623607 0.500000 0.376393 0.264886 0.176393
 0.100000 0.119577 0.176393 0.264886 0.376393 0.500000 0.623607 0.735114 0.823607 0.880423 0.900000 0.880423 0.823607 0.735114 0.623607 0.500000 0.376393 0.264886 0.176393 0.119577
 0.119577 0.176393 0.264886 0.376393 0.500000 0.623607 0.735114 0.823607 0.880423 0.900000 0.880423 0.823607 0.735114 0.623607 0.500000 0.376393 0.264886 0.176393 0.119577 0.100000
 0.176393 0.264886 0.376393 0.500000 0.623607 0.735114 0.823607 0.880423 0.900000 0.880423 0.823607 0.735114 0.623607 0.500000 0.376393 0.264886 0.176393 0.119577 0.100000 0.119577
 0.264886 0.376393 0.500000 0.623607 0.735114 0.823607 0.880423 0.900000 0.880423 0.823607 0.735114 0.623607 0.500000 0.376393 0.264886 0.176393 0.119577 0.100000 0.119577 0.176393
 0.376393 0.500000 0.623607 0.735114 0.823607 0.880423 0.900000 0.880423 0.823607 0.735114 0.623607 0.500000 0.376393 0.264886 0.176393 0.119577 0.100000 0.119577 0.176393 0.264886
