-3.141593 0.500000 0.100000
-3.110177 0.487436 0.100197
-3.078761 0.474884 0.100789
-3.047345 0.462357 0.101775
-3.015929 0.449867 0.103154
-2.984513 0.437426 0.104925
-2.953097 0.425047 0.107085
-2.921681 0.412743 0.109633
-2.890265 0.400524 0.112567
-2.858849 0.388404 0.115883
-2.827433 0.376393 0.119577
-2.796017 0.364505 0.123648
-2.764602 0.352750 0.128089
-2.733186 0.341141 0.132898
-2.701770 0.329688 0.138069
-2.670354 0.318404 0.143597
-2.638938 0.307299 0.149477
-2.607522 0.296383 0.155703
-2.576106 0.285669 0.162269
-2.544690 0.275167 0.169168
-2.513274 0.264886 0.176393
-2.481858 0.254837 0.183938
-2.450442 0.245030 0.191795
-2.419026 0.235475 0.199956
-2.387610 0.226181 0.208413
-2.356194 0.217157 0.217157
-2.324779 0.208413 0.226181
-2.293363 0.199956 0.235475
-2.261947 0.191795 0.245030
-2.230531 0.183938 0.254837
-2.199115 0.176393 0.264886
-2.167699 0.169168 0.275167
-2.136283 0.162269 0.285669
-2.104867 0.155703 0.296383
-2.073451 0.149477 0.307299
-2.042035 0.143597 0.318404
-2.010619 0.138069 0.329688
-1.979203 0.132898 0.341141
-1.947787 0.128089 0.352750
-1.916372 0.123648 0.364505
-1.884956 0.119577 0.376393
-1.853540 0.115883 0.388404
-1.822124 0.112567 0.400524
-1.790708 0.109633 0.412743
-1.759292 0.107085 0.425047
-1.727876 0.104925 0.437426
-1.696460 0.103154 0.449867
-1.665044 0.101775 0.462357
-1.633628 0.100789 0.474884
-1.602212 0.100197 0.487436
-1.570796 0.100000 0.500000
-1.539380 0.100197 0.512564
-1.507964 0.100789 0.525116
-1.476549 0.101775 0.537643
-1.445133 0.103154 0.550133
-1.413717 0.104925 0.562574
-1.382301 0.107085 0.574953
-1.350885 0.109633 0.587257
-1.319469 0.112567 0.599476
-1.288053 0.115883 0.611596
-1.256637 0.119577 0.623607
-1.225221 0.123648 0.635495
-1.193805 0.128089 0.647250
-1.162389 0.132898 0.658859
-1.130973 0.138069 0.670312
-1.099557 0.143597 0.681596
-1.068142 0.149477 0.692701
-1.036726 0.155703 0.703617
-1.005310 0.162269 0.714331
-0.973894 0.169168 0.724833
-0.942478 0.176393 0.735114
-0.911062 0.183938 0.745163
-0.879646 0.191795 0.754970
-0.848230 0.199956 0.764525
-0.816814 0.208413 0.773819
-0.785398 0.217157 0.782843
-0.753982 0.226181 0.791587
-0.722566 0.235475 0.800044
-0.691150 0.245030 0.808205
-0.659734 0.254837 0.816062
-0.628319 0.264886 0.823607
-0.596903 0.275167 0.830832
-0.565487 0.285669 0.837731
-0.534071 0.296383 0.844297
-0.502655 0.307299 0.850523
-0.471239 0.318404 0.856403
-0.439823 0.329688 0.861931
-0.408407 0.341141 0.867102
-0.376991 0.352750 0.871911
-0.345575 0.364505 0.876352
-0.314159 0.376393 0.880423
-0.282743 0.388404 0.884117
-0.251327 0.400524 0.887433
-0.219911 0.412743 0.890367
-0.188496 0.425047 0.892915
-0.157080 0.437426 0.895075
-0.125664 0.449867 0.896846
-0.094248 0.462357 0.898225
